index	breadcrumb	title_zh	title_en	reference_doc_url	pillar	diataxis	status	qchem_module	milestone	is_class_leaf	mirror_site_path
1	introduction	介绍	Introduction	https://docs.quantinuum.com/inquanto/introduction/	meta	concept	shipped			0	/mirror/introduction/
2	introduction/overview	产品概览（参考文档镜像）	Product overview (reference mirror)	https://docs.quantinuum.com/inquanto/introduction/overview.html	meta	concept	shipped	qchem_stack		0	/mirror/introduction/overview/
3	introduction/installation	安装	Installation	https://docs.quantinuum.com/inquanto/introduction/installation.html	meta	tutorial	shipped			0	/mirror/introduction/installation/
4	introduction/installation/system_requirements	系统要求	System requirements	https://docs.quantinuum.com/inquanto/introduction/system_requirements.html	meta	reference	shipped			0	/mirror/introduction/installation/system_requirements/
5	introduction/installation/troubleshooting	故障排除	Troubleshooting	https://docs.quantinuum.com/inquanto/introduction/troubleshooting.html	meta	concept	shipped			0	/mirror/introduction/installation/troubleshooting/
6	introduction/quickstart	快速上手	Quick-start guide	https://docs.quantinuum.com/inquanto/introduction/quickstart.html	P2	tutorial	shipped	qchem_stack.express		0	/mirror/introduction/quickstart/
7	manual	用户手册	Manual	https://docs.quantinuum.com/inquanto/manual/	meta	concept	shipped			0	/mirror/manual/
8	manual/howto	参考手册 · 使用说明	Reference manual · How-to	https://docs.quantinuum.com/inquanto/manual/howto.html	P2	concept	shipped	qchem_stack		0	/mirror/manual/howto/
9	manual/geometry	几何	Geometry	https://docs.quantinuum.com/inquanto/manual/geometry.html	P1	concept	partial	qchem_stack.chem.molecule		0	/mirror/manual/geometry/
10	manual/express	Express 数据集	Express data sets	https://docs.quantinuum.com/inquanto/manual/express.html	P2	reference	partial	qchem_stack.express		0	/mirror/manual/express/
11	manual/symmetry	对称性	Symmetry	https://docs.quantinuum.com/inquanto/manual/symmetry.html	P2	concept	placeholder		Q3 2026	0	/mirror/manual/symmetry/
12	manual/spaces_operators	空间 / 算符 / 状态 / 映射	"Spaces, operators, states and mappings"	https://docs.quantinuum.com/inquanto/manual/spaces.html	P2	concept	partial	qchem_stack.chem.hamiltonian		0	/mirror/manual/spaces_operators/
13	manual/spaces_operators/interfacing_qchem	与外部量化包接口（FCIDUMP）	Interfacing with quantum chemistry packages (FCIDUMP)	https://docs.quantinuum.com/inquanto/manual/spaces.html#interfacing-quantum-chemistry	P2	concept	placeholder		Q3 2026	0	/mirror/manual/spaces_operators/interfacing_qchem/
14	manual/spaces_operators/qubit_mapping	量子比特映射	Qubit mapping	https://docs.quantinuum.com/inquanto/manual/spaces.html#qubit-mapping	P2	concept	shipped	qchem_stack.chem.hamiltonian.molecular_hamiltonian_from_classical_reference		0	/mirror/manual/spaces_operators/qubit_mapping/
15	manual/ansatze	Ansatze 概览	Ansatze overview	https://docs.quantinuum.com/inquanto/manual/ansatzae_overview.html	P2	concept	partial	qchem_stack.quantum.ansatze		0	/mirror/manual/ansatze/
16	manual/ansatze/ucc_family	UCC 家族	UCC family	https://docs.quantinuum.com/inquanto/manual/ansatze/ucc_family.html	P2	concept	partial			0	/mirror/manual/ansatze/ucc_family/
17	manual/ansatze/hardware_efficient	硬件高效 ansatz（HEA）	Hardware-efficient ansatz	https://docs.quantinuum.com/inquanto/manual/ansatze/hea.html	P2	concept	shipped	qchem_stack.quantum.ansatze.hea		0	/mirror/manual/ansatze/hardware_efficient/
18	manual/minimizers	极小化器	Minimizers	https://docs.quantinuum.com/inquanto/manual/minimizers.html	P2	reference	partial	qchem_stack.quantum.minimizers		0	/mirror/manual/minimizers/
19	manual/computables	Computables 概览	Computables overview	https://docs.quantinuum.com/inquanto/manual/computables_overview.html	P2	concept	partial	qchem_stack.protocols.computable		0	/mirror/manual/computables/
20	manual/computables/atomic	原子 computable	Atomic computables	https://docs.quantinuum.com/inquanto/manual/computables/atomic.html	P2	concept	partial			0	/mirror/manual/computables/atomic/
21	manual/computables/composite	复合 computable	Composite computables	https://docs.quantinuum.com/inquanto/manual/computables/composite_computables.html	P2	concept	placeholder		Q4 2026	0	/mirror/manual/computables/composite/
22	manual/computables/primitives	原语 computable	Primitive computables	https://docs.quantinuum.com/inquanto/manual/computables/primitives.html	P2	concept	placeholder		Q4 2026	0	/mirror/manual/computables/primitives/
23	manual/computables/evaluating_w_protocols	用 Protocol 求值	Evaluating with protocols	https://docs.quantinuum.com/inquanto/manual/computables/evaluating_w_protocols.html	P2	concept	shipped	qchem_stack.protocols.computable		0	/mirror/manual/computables/evaluating_w_protocols/
24	manual/protocols	Protocols 概览（五阶段）	Protocols overview (five stages)	https://docs.quantinuum.com/inquanto/manual/protocols_overview.html	P2	concept	partial	qchem_stack.protocols.PauliAveragingProtocol		0	/mirror/manual/protocols/
